timestamp,event_id,user,action,ip_address,resource,result,bytes_transferred,user_agent,session_id
2024-12-15 02:30:15,EVT-00001,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_001
2024-12-15 02:30:17,EVT-00002,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_002
2024-12-15 02:30:19,EVT-00003,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_003
2024-12-15 02:30:21,EVT-00004,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_004
2024-12-15 02:30:23,EVT-00005,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_005
2024-12-15 02:30:25,EVT-00006,admin1,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_006
2024-12-15 02:30:27,EVT-00007,admin1,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_007
2024-12-15 02:30:29,EVT-00008,admin1,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_008
2024-12-15 02:30:31,EVT-00009,admin1,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_009
2024-12-15 02:30:33,EVT-00010,admin1,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_010
2024-12-15 02:30:35,EVT-00011,admin2,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_011
2024-12-15 02:30:37,EVT-00012,admin2,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_012
2024-12-15 02:30:39,EVT-00013,admin2,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_013
2024-12-15 02:30:41,EVT-00014,admin2,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_014
2024-12-15 02:30:43,EVT-00015,admin2,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_015
2024-12-15 02:30:45,EVT-00016,administrator,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_016
2024-12-15 02:30:47,EVT-00017,administrator,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_017
2024-12-15 02:30:49,EVT-00018,administrator,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_018
2024-12-15 02:30:51,EVT-00019,administrator,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_019
2024-12-15 02:30:53,EVT-00020,administrator,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_020
2024-12-15 02:30:55,EVT-00021,root,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_021
2024-12-15 02:30:57,EVT-00022,root,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_022
2024-12-15 02:30:59,EVT-00023,root,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_023
2024-12-15 02:31:01,EVT-00024,root,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_024
2024-12-15 02:31:03,EVT-00025,root,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_025
2024-12-15 02:31:05,EVT-00026,sysadmin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_026
2024-12-15 02:31:07,EVT-00027,sysadmin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_027
2024-12-15 02:31:09,EVT-00028,sysadmin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_028
2024-12-15 02:31:11,EVT-00029,sysadmin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_029
2024-12-15 02:31:13,EVT-00030,sysadmin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_030
2024-12-15 02:31:15,EVT-00031,admin123,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_031
2024-12-15 02:31:17,EVT-00032,admin123,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_032
2024-12-15 02:31:19,EVT-00033,admin123,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_033
2024-12-15 02:31:21,EVT-00034,admin123,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_034
2024-12-15 02:31:23,EVT-00035,admin123,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_035
2024-12-15 02:31:25,EVT-00036,superadmin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_036
2024-12-15 02:31:27,EVT-00037,superadmin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_037
2024-12-15 02:31:29,EVT-00038,superadmin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_038
2024-12-15 02:31:31,EVT-00039,superadmin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_039
2024-12-15 02:31:33,EVT-00040,superadmin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_040
2024-12-15 02:31:35,EVT-00041,user,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_041
2024-12-15 02:31:37,EVT-00042,user,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_042
2024-12-15 02:31:39,EVT-00043,user,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_043
2024-12-15 02:31:41,EVT-00044,user,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_044
2024-12-15 02:31:43,EVT-00045,user,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_045
2024-12-15 02:31:45,EVT-00046,test,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_046
2024-12-15 02:31:47,EVT-00047,test,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_047
2024-12-15 02:31:49,EVT-00048,test,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_048
2024-12-15 02:31:51,EVT-00049,test,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_049
2024-12-15 02:31:53,EVT-00050,test,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_050
2024-12-15 02:31:55,EVT-00051,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_051
2024-12-15 02:31:57,EVT-00052,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_052
2024-12-15 02:31:59,EVT-00053,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_053
2024-12-15 02:32:01,EVT-00054,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_054
2024-12-15 02:32:03,EVT-00055,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_055
2024-12-15 02:32:05,EVT-00056,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_056
2024-12-15 02:32:07,EVT-00057,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_057
2024-12-15 02:32:09,EVT-00058,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_058
2024-12-15 02:32:11,EVT-00059,admin,login,45.67.89.10,/api/auth,FAILED,256,Mozilla/5.0,sess_059
