timestamp,user,action,resource,ip_address,result,user_agent,session_id,bytes_transferred,protocol
2024-12-30 10:00:00,admin,login,/auth/login,203.45.67.89,FAILED,curl/7.68.0,sess_201,245,HTTP
2024-12-30 10:00:05,admin,login,/auth/login,203.45.67.89,FAILED,curl/7.68.0,sess_201,245,HTTP
2024-12-30 10:00:10,admin,login,/auth/login,203.45.67.89,FAILED,curl/7.68.0,sess_201,245,HTTP
2024-12-30 10:00:15,root,login,/auth/login,203.45.67.89,FAILED,curl/7.68.0,sess_201,245,HTTP
2024-12-30 10:00:20,root,login,/auth/login,203.45.67.89,FAILED,curl/7.68.0,sess_201,245,HTTP
2024-12-30 10:00:25,administrator,login,/auth/login,203.45.67.89,FAILED,curl/7.68.0,sess_201,245,HTTP
2024-12-30 10:00:30,test,login,/auth/login,203.45.67.89,FAILED,curl/7.68.0,sess_201,245,HTTP
2024-12-30 10:00:35,admin,login,/auth/login,203.45.67.89,FAILED,curl/7.68.0,sess_201,245,HTTP
2024-12-30 10:00:40,admin,login,/auth/login,203.45.67.89,FAILED,curl/7.68.0,sess_201,245,HTTP
2024-12-30 10:00:45,guest,login,/auth/login,203.45.67.89,FAILED,curl/7.68.0,sess_201,245,HTTP
2024-12-30 10:00:50,user,login,/auth/login,203.45.67.89,FAILED,curl/7.68.0,sess_201,245,HTTP
2024-12-30 10:00:55,admin,login,/auth/login,203.45.67.89,FAILED,curl/7.68.0,sess_201,245,HTTP
2024-12-30 10:05:00,john.doe,login,/auth/login,192.168.1.45,SUCCESS,Chrome/120.0,sess_301,1245,HTTPS
2024-12-30 10:05:05,jane.smith,login,/auth/login,192.168.1.67,SUCCESS,Firefox/121.0,sess_302,1245,HTTPS
2024-12-30 10:05:10,john.doe,access,/dashboard,192.168.1.45,SUCCESS,Chrome/120.0,sess_301,5430,HTTPS
2024-12-30 10:05:15,jane.smith,access,/reports,192.168.1.67,SUCCESS,Firefox/121.0,sess_302,3421,HTTPS
2024-12-30 10:05:20,john.doe,query,/api/data,192.168.1.45,SUCCESS,Chrome/120.0,sess_301,8920,HTTPS
2024-12-30 10:05:25,jane.smith,logout,/auth/logout,192.168.1.67,SUCCESS,Firefox/121.0,sess_302,145,HTTPS
2024-12-30 10:05:30,john.doe,logout,/auth/logout,192.168.1.45,SUCCESS,Chrome/120.0,sess_301,145,HTTPS
2024-12-30 10:06:00,mike.wilson,login,/auth/login,192.168.1.89,SUCCESS,Safari/17.0,sess_303,1245,HTTPS
2024-12-30 10:06:05,sarah.johnson,login,/auth/login,192.168.1.102,SUCCESS,Edge/120.0,sess_304,1245,HTTPS
2024-12-30 10:06:10,mike.wilson,access,/projects,192.168.1.89,SUCCESS,Safari/17.0,sess_303,5430,HTTPS
2024-12-30 10:06:15,sarah.johnson,access,/tasks,192.168.1.102,SUCCESS,Edge/120.0,sess_304,3421,HTTPS
2024-12-30 10:06:20,mike.wilson,logout,/auth/logout,192.168.1.89,SUCCESS,Safari/17.0,sess_303,145,HTTPS
2024-12-30 10:06:25,sarah.johnson,logout,/auth/logout,192.168.1.102,SUCCESS,Edge/120.0,sess_304,145,HTTPS
2024-12-30 10:07:00,bob.martinez,login,/auth/login,192.168.1.120,SUCCESS,Firefox/121.0,sess_305,1245,HTTPS
2024-12-30 10:07:05,alice.chen,login,/auth/login,192.168.1.135,SUCCESS,Chrome/120.0,sess_306,1245,HTTPS
2024-12-30 10:07:10,bob.martinez,access,/calendar,192.168.1.120,SUCCESS,Firefox/121.0,sess_305,3421,HTTPS
2024-12-30 10:07:15,alice.chen,access,/messages,192.168.1.135,SUCCESS,Chrome/120.0,sess_306,5430,HTTPS
2024-12-30 10:07:20,bob.martinez,logout,/auth/logout,192.168.1.120,SUCCESS,Firefox/121.0,sess_305,145,HTTPS
2024-12-30 10:07:25,alice.chen,logout,/auth/logout,192.168.1.135,SUCCESS,Chrome/120.0,sess_306,145,HTTPS
2024-12-30 10:08:00,david.lee,login,/auth/login,192.168.1.150,SUCCESS,Chrome/120.0,sess_307,1245,HTTPS
2024-12-30 10:08:05,emily.davis,login,/auth/login,192.168.1.165,SUCCESS,Firefox/121.0,sess_308,1245,HTTPS
2024-12-30 10:08:10,david.lee,access,/dashboard,192.168.1.150,SUCCESS,Chrome/120.0,sess_307,5430,HTTPS
2024-12-30 10:08:15,emily.davis,access,/analytics,192.168.1.165,SUCCESS,Firefox/121.0,sess_308,3421,HTTPS
2024-12-30 10:08:20,david.lee,logout,/auth/logout,192.168.1.150,SUCCESS,Chrome/120.0,sess_307,145,HTTPS
2024-12-30 10:08:25,emily.davis,logout,/auth/logout,192.168.1.165,SUCCESS,Firefox/121.0,sess_308,145,HTTPS
