timestamp,username,action,resource,source_ip,status,protocol,severity
2024-12-27 09:00:00,alice_admin,LOGIN,/admin/dashboard,192.168.1.100,SUCCESS,HTTPS,INFO
2024-12-27 09:05:15,bob_dev,FILE_ACCESS,/code/app.py,192.168.1.101,SUCCESS,SMB,INFO
2024-12-27 09:10:30,charlie_hr,EMAIL_SEND,smtp.company.com,192.168.1.102,SUCCESS,SMTP,INFO
2024-12-27 09:15:45,alice_admin,DATABASE_QUERY,mysql://hrdb,192.168.1.100,SUCCESS,MYSQL,INFO
2024-12-27 09:20:00,bob_dev,FILE_ACCESS,/code/config.json,192.168.1.101,SUCCESS,SMB,INFO
2024-12-27 09:25:10,backup_service,BACKUP_START,/backup/daily,192.168.1.200,SUCCESS,RSYNC,INFO
2024-12-27 09:30:25,charlie_hr,FILE_ACCESS,/hr/employees.xlsx,192.168.1.102,SUCCESS,HTTP,INFO
2024-12-27 09:35:40,monitoring,HEALTH_CHECK,/system/status,127.0.0.1,SUCCESS,HTTP,INFO
2024-12-27 09:40:55,alice_admin,CONFIG_CHANGE,/etc/firewall.conf,192.168.1.100,SUCCESS,SSH,INFO
2024-12-27 09:45:00,bob_dev,VPN_CONNECT,vpn.company.com,203.0.113.50,SUCCESS,OPENVPN,INFO
2024-12-27 09:50:15,scanner_external,PORT_SCAN,192.168.1.0/24,198.51.100.10,BLOCKED,TCP,WARNING
2024-12-27 09:55:30,unknown,PORT_SCAN,192.168.1.0/24,198.51.100.10,BLOCKED,TCP,WARNING
2024-12-27 10:00:00,attacker,LOGIN,/admin/panel,198.51.100.10,FAILED,HTTPS,WARNING
2024-12-27 10:00:15,attacker,LOGIN,/admin/panel,198.51.100.10,FAILED,HTTPS,WARNING
2024-12-27 10:00:30,attacker,LOGIN,/admin/panel,198.51.100.10,FAILED,HTTPS,WARNING
2024-12-27 10:00:45,attacker,LOGIN,/admin/panel,198.51.100.10,FAILED,HTTPS,WARNING
2024-12-27 10:01:00,attacker,LOGIN,/admin/panel,198.51.100.10,FAILED,HTTPS,WARNING
